service_id,date,exception_type
FLASH-C_Weekday_1_2307-VMTM_1111100,20231010,1
Local_Weekday_1_2307-VMTM_1111100,20231010,1
School_Weekday_1_2307-VMTM_1101100,20231010,1
School_Weekday_1_2307-VMTM_1111000,20231010,1
Express_Weekday_1_2307-VMW_1111100,20231010,1
Local_Weekday_1_2307-VMW_1111000,20231010,1
Local_Weekday_1_2307-VMW_1111100,20231010,1
GUS1_Weekday_1_2301-GL_1111100,20231011,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231011,1
Local_Weekday_10_2307-PHNS_1111100,20231011,1
RAPID_Weekday_10_2307-PHNS_1111100,20231011,1
School_Weekday_11_2307-PHNS_0111100,20231011,1
School_Weekday_11_2307-PHNS_1111100,20231011,1
Local_Weekday_20_2307-PHW_1111100,20231011,1
School_Weekday_40_2307-PHW_0111100,20231011,1
School_Weekday_40_2307-PHW_1111100,20231011,1
SC_Weekday_1_2310-SC_1111100,20231011,1
SKYT_7-days_2_SKYT_1111111,20231011,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231011,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231011,1
VMRU_Weekday_1_2301-VMRU_1111100,20231011,1
Express_Weekday_1_2307-VMTM_1111100,20231011,1
FLSH_Weekday_1_2307-VMTM_1111100,20231011,1
Local_Weekday_1_2307-VMTM_1111100,20231011,1
School_Weekday_1_2307-VMTM_0010000,20231011,1
School_Weekday_1_2307-VMTM_1111000,20231011,1
Express_Weekday_1_2307-VMW_1111100,20231011,1
Local_Weekday_1_2307-VMW_1111000,20231011,1
Local_Weekday_1_2307-VMW_1111100,20231011,1
GUS1_Weekday_1_2301-GL_1111100,20231012,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231012,1
Local_Weekday_10_2307-PHNS_1111100,20231012,1
RAPID_Weekday_10_2307-PHNS_1111100,20231012,1
School_Weekday_11_2307-PHNS_0111100,20231012,1
School_Weekday_11_2307-PHNS_1111100,20231012,1
Local_Weekday_20_2307-PHW_1111100,20231012,1
School_Weekday_40_2307-PHW_0111100,20231012,1
School_Weekday_40_2307-PHW_1111100,20231012,1
SC_Weekday_1_2310-SC_1111100,20231012,1
SKYT_7-days_2_SKYT_1111111,20231012,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231012,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231012,1
VMRU_Weekday_1_2301-VMRU_1111100,20231012,1
Express_Weekday_1_2307-VMTM_1111100,20231012,1
FLSH_Weekday_1_2307-VMTM_1111100,20231012,1
Local_Weekday_1_2307-VMTM_1111100,20231012,1
School_Weekday_1_2307-VMTM_1101100,20231012,1
School_Weekday_1_2307-VMTM_1111000,20231012,1
Express_Weekday_1_2307-VMW_1111100,20231012,1
Local_Weekday_1_2307-VMW_1111000,20231012,1
Local_Weekday_1_2307-VMW_1111100,20231012,1
GUS1_Weekday_1_2301-GL_1111100,20231013,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231013,1
Local_Weekday_10_2307-PHNS_1111100,20231013,1
RAPID_Weekday_10_2307-PHNS_1111100,20231013,1
School_Weekday_11_2307-PHNS_0111100,20231013,1
School_Weekday_11_2307-PHNS_1111100,20231013,1
Local_Weekday_20_2307-PHW_1111100,20231013,1
School_Weekday_40_2307-PHW_0111100,20231013,1
School_Weekday_40_2307-PHW_1111100,20231013,1
SC_Weekday_1_2310-SC_1111100,20231013,1
SKYT_7-days_2_SKYT_1111111,20231013,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231013,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231013,1
VMRU_Weekday_1_2301-VMRU_1111100,20231013,1
Express_Weekday_1_2307-VMTM_1111100,20231013,1
FLSH_Weekday_1_2307-VMTM_1111100,20231013,1
Local_Weekday_1_2307-VMTM_1111100,20231013,1
School_Weekday_1_2307-VMTM_0000100,20231013,1
School_Weekday_1_2307-VMTM_1101100,20231013,1
Express_Weekday_1_2307-VMW_1111100,20231013,1
Local_Weekday_1_2307-VMW_0000100,20231013,1
Local_Weekday_1_2307-VMW_1111100,20231013,1
GUS1_Saturday_1_2301-GL_0000010,20231014,1
Local_Saturday_10_2307-PHNS_0000010,20231014,1
Local_Saturday_20_2307-PHW_0000010,20231014,1
SKYT_7-days_2_SKYT_1111111,20231014,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231014,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231014,1
VMRU_Saturday_1_2301-VMRU_0000010,20231014,1
VMTM_Saturday_1_2307-VMTM_0000010,20231014,1
Local_Weekend_1_2307-VMW_0000011,20231014,1
GUS1_Sunday_1_2301-GL_0000001,20231015,1
Local_Sunday_10_2307-PHNS_0000001,20231015,1
Local_Sunday_20_2307-PHW_0000001,20231015,1
SKYT_7-days_2_SKYT_1111111,20231015,1
TSC_V15_Sunday_1_2301-VMST_0000001,20231015,1
VMLR_Sunday_20_2301-VMLR_0000001,20231015,1
VMTM_Sunday_1_2307-VMTM_0000001,20231015,1
Local_Weekend_1_2307-VMW_0000011,20231015,1
GUS1_Weekday_1_2301-GL_1111100,20231016,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231016,1
Local_Weekday_10_2307-PHNS_1111100,20231016,1
RAPID_Weekday_10_2307-PHNS_1111100,20231016,1
School_Weekday_11_2307-PHNS_1000000,20231016,1
School_Weekday_11_2307-PHNS_1111100,20231016,1
Local_Weekday_20_2307-PHW_1111100,20231016,1
School_Weekday_40_2307-PHW_1000000,20231016,1
School_Weekday_40_2307-PHW_1111100,20231016,1
SC_Weekday_1_2310-SC_1111100,20231016,1
SKYT_7-days_2_SKYT_1111111,20231016,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20231016,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20231016,1
VMRU_Weekday_1_2301-VMRU_1111100,20231016,1
Express_Weekday_1_2307-VMTM_1111100,20231016,1
FLSH_Weekday_1_2307-VMTM_1111100,20231016,1
Local_Weekday_1_2307-VMTM_1111100,20231016,1
School_Weekday_1_2307-VMTM_1101100,20231016,1
School_Weekday_1_2307-VMTM_1111000,20231016,1
Express_Weekday_1_2307-VMW_1111100,20231016,1
Local_Weekday_1_2307-VMW_1111000,20231016,1
Local_Weekday_1_2307-VMW_1111100,20231016,1
GUS1_Weekday_1_2301-GL_1111100,20231017,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20231017,1
Local_Weekday_10_2307-PHNS_1111100,20231017,1
RAPID_Weekday_10_2307-PHNS_1111100,20231017,1
School_Weekday_11_2307-PHNS_0111100,20231017,1
School_Weekday_11_2307-PHNS_1111100,20231017,1
Local_Weekday_20_2307-PHW_1111100,20231017,1
School_Weekday_40_2307-PHW_0111100,20231017,1
School_Weekday_40_2307-PHW_1111100,20231017,1
SC_Weekday_1_2310-SC_1111100,20231017,1
